date|time|description|vendor|amount
2024-01-15|09:00|Deposit|Salary Inc|3200.00
2024-02-03|10:30|Payment|Amazon|-145.99
2024-03-18|14:00|Deposit|Freelance Client|-850.00
2024-04-22|11:00|Payment|Netflix|-15.99
2024-05-10|08:45|Deposit|Salary Inc|3200.00
2024-06-05|13:00|Payment|Whole Foods|-212.47
2024-07-19|09:30|Payment|AT&T|-89.00
2024-08-01|10:00|Deposit|Salary Inc|3200.00
2024-09-14|15:00|Payment|Apple Store|-999.00
2024-10-07|11:30|Deposit|Tax Refund|1240.00
2024-11-25|14:30|Payment|Best Buy|-349.99
2024-12-01|09:00|Deposit|Salary Inc|3200.00
2024-12-20|16:00|Payment|Target|-187.63
2025-02-14|10:00|Payment|Valentines Dinner|-124.50
2025-04-01|09:00|Deposit|Salary Inc|3500.00
2025-07-04|12:00|Payment|Party City|-67.89
2025-11-01|09:00|Deposit|Salary Inc|3500.00
2026-01-15|10:00|Deposit|Salary Inc|3500.00
2026-03-22|14:00|Payment|Spotify|-10.99
2026-04-30|09:00|Deposit|Jude|500.00
2026-04-30|22:00|Deposit|Justine O|4567.00
2026-04-30|22:01|Deposit|James|6789.00
2026-04-30|22:03|Deposit|Zaire|7890.00
